Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
dfv_mean_EEG T4,Control,COBRAD,Mann-Whitney U,11549.0,1.5636542443340985e-08,-0.4411953933354205,6.644153593946661,5.549373097127975,2.1524426065075297,3.137801332079722,6.70045871559633,4.977801543873795,1.1977868984387579,1.0337169225133152,2.4734167137648467e-08,True
dfv_std_EEG T4,Control,COBRAD,Mann-Whitney U,5234.0,3.6583425876515223e-06,0.4880687888163438,4.638068758240577,5.479114401265515,1.7378561760759093,1.6872484028932528,4.210760715994225,5.323321420336461,0.8792306423021086,0.8418695340379645,5.28258597718975e-06,True
min_EEG T5,Control,COBRAD,Mann-Whitney U,14520.0,9.240260403677954e-26,-1.269498309750916,-4.9433251988061045e-05,-0.00010978571157674386,3.2419470585793385e-05,7.201204856869402e-05,-4.329127749612202e-05,-8.728651647577386e-05,1.06552331988034e-05,2.6137872628665796e-05,3.5336380444834377e-25,True
max_EEG T5,Control,COBRAD,Mann-Whitney U,1720.0,4.0321668723212263e-25,1.3057939969848416,4.9986932672275246e-05,0.00010993853042878881,3.277449259888503e-05,6.789192876680697e-05,4.1534026884412223e-05,9.132173053810762e-05,1.0666814039843687e-05,2.8440573445351275e-05,1.4616604912164445e-24,True
mean_EEG T5,Control,COBRAD,Mann-Whitney U,8455.0,0.5386356952185813,-0.0666823126074831,6.938611791002525e-09,3.2112440717643786e-09,6.450037452302591e-08,2.486340455047946e-08,4.03365285555099e-09,7.780581038957625e-10,1.2898580297561783e-08,8.221424443137071e-09,0.5562172757746775,False
median_EEG T5,Control,COBRAD,Mann-Whitney U,10091.0,0.0010394789485372417,-0.22766286919318332,3.884582543921552e-08,-2.9442866064298657e-09,1.8268229348560534e-07,1.8567135605782563e-07,3.6987185092980985e-08,-1.0844661295931682e-09,8.188279577454404e-08,5.1348043760257884e-08,0.0013250500882452752,True
std_EEG T5,Control,COBRAD,Mann-Whitney U,4549.0,9.157266914896483e-09,0.6380256628495752,7.4353682052577205e-06,1.0900659530145245e-05,2.6994773248594886e-06,9.123879446921608e-06,7.061446903858252e-06,9.265986451125174e-06,1.6678899954720447e-06,2.1733546606784595e-06,1.475337447399989e-08,True
psd_mean_EEG T5,Control,COBRAD,Mann-Whitney U,4055.0,5.743060070329145e-11,0.30950074318346105,1.3488443206256242e-12,6.653938078607116e-12,1.140762953662388e-12,3.1648062384857614e-11,1.0093093353634107e-12,1.8956935552008513e-12,4.529958185055049e-13,8.163018234531295e-13,9.992924522372713e-11,True
psd_std_EEG T5,Control,COBRAD,Mann-Whitney U,3987.0,2.719040295576454e-11,0.25704963220470434,3.032055696251366e-12,2.2853009900333373e-11,3.0563040293152842e-12,1.4251593554264765e-10,2.040878483382767e-12,4.577997583687333e-12,1.014428930074541e-12,2.192879700519963e-12,4.7789193073767977e-11,True
fft_mean_EEG T5,Control,COBRAD,Mann-Whitney U,1285.0,1.9157593071889565e-28,1.6604421455661953,0.0025816920921846653,0.0055619121006876245,0.0009531561538768087,0.0029695361594560344,0.0023449212152103,0.005026334782094107,0.0004870484393605006,0.001306025155008125,1.0582289506377093e-27,True
