Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
alpha_power_EEG T3,Control,WNV,Mann-Whitney U,1151.0,0.8781639897443739,-0.06590224863719477,1.0216434276901424e-11,9.250708422536029e-12,1.5663816782773935e-11,9.802679927260511e-12,5.447815734753075e-12,6.218834219802204e-12,2.830676593863764e-12,2.637511291975414e-12,0.9172445861466105,False
beta_power_EEG T3,Control,WNV,Mann-Whitney U,1169.0,0.9713796029295373,0.18256846507367638,9.435055939951684e-12,1.1621839353510698e-11,1.1197448969048908e-11,1.4613552191611927e-11,6.050656388156163e-12,5.495143709916895e-12,1.8155359858181918e-12,3.2741921990691256e-12,0.9812163584022414,False
gamma_power_EEG T3,Control,WNV,Mann-Whitney U,1039.0,0.37674774678323186,0.8826950373897605,7.0663478222602886e-12,3.248388659439748e-11,7.33990759340656e-12,6.191494192764507e-11,4.579266262103966e-12,5.141374249339145e-12,2.219662513503015e-12,3.221149745246495e-12,0.45552227565608944,False
skewness_EEG T3,Control,WNV,Mann-Whitney U,1075.0,0.5162954374021553,0.18554046542370037,-0.06022937339386394,-0.031173818450403075,0.1538288737189546,0.16690208634017728,-0.06714583672775205,-0.070431370031575,0.0791659938096151,0.0997038682739398,0.5936653588572334,False
kurtosis_EEG T3,Control,WNV,Mann-Whitney U,813.0,0.0183654790986211,0.6074564790079577,1.128620841537646,1.7660437185655844,0.9689957178316909,1.3150659469932138,0.9130351193510584,1.5353496148341672,0.4076343269351961,0.7503302981968596,0.027342634926678433,True
mean_mpf_EEG T3,Control,WNV,Mann-Whitney U,1748.0,0.00018803004693949743,-0.8954876381186333,10.073944810212677,7.826767659859846,2.3196141697181814,3.138398983313358,9.96337902310405,7.416412415753417,1.3865761153769842,2.3187439230826525,0.0005476203556851057,True
median_mpf_EEG T3,Control,WNV,Mann-Whitney U,1780.0,8.03602390792517e-05,-0.959044073785627,10.007633507838635,7.583128374697155,2.3328341954707263,3.1730028345600862,9.938282368747586,7.256290416255183,1.281564999896963,2.326592007277813,0.0002485560883148948,True
pswe_percentage_EEG T3,Control,WNV,Mann-Whitney U,386.0,1.887795485606584e-08,1.597720058216314,1.4333382617786876,23.81203312973193,5.6326176662953555,28.86983355204223,0.0,7.275931467588301,0.0,7.275931467588301,2.0357578344784514e-07,True
pswe_events_per_minute_EEG T3,Control,WNV,Mann-Whitney U,390.0,2.2258652179637188e-08,1.680004570738204,0.12149677172852477,1.310674919140768,0.4054708880537174,1.3436878952437747,0.0,0.622568093385214,0.0,0.622568093385214,2.3156958393684832e-07,True
pswe_avg_length_EEG T3,Control,WNV,Mann-Whitney U,468.5,4.781396226530673e-07,1.3809720415441655,2.1836158228943616,7.512810090638717,3.036764609072106,6.071534905920462,0.0,6.961538461538461,0.0,1.9615384615384608,2.5437027925143183e-06,True
